synonyms,average,word
مُثِير,50,دَفْع;تَحْفِيز
مُنَبِّه,"42,5",دَفْع;تَحْفِيز
مُنَشِّط,"42,5",دَفْع;تَحْفِيز
حَاثّ,"67,5",دَفْع;تَحْفِيز
دَافِع,70,دَفْع;تَحْفِيز
دَاعٍ,"27,5",دَفْع;تَحْفِيز
بَاعِث,40,دَفْع;تَحْفِيز
إِثَارَة,75,دَفْع;تَحْفِيز
تَحْوِيل,"92,5",تَحَوُّل
نَقْل,55,تَحَوُّل
اِنْتِقَال,60,تَحَوُّل
تَرْجَمَة,"12,5",تَحَوُّل
نَقْل مِلْكِيَّة,70,تَحَوُّل
مُرُور,10,تَحَوُّل
عُبُور,10,تَحَوُّل
سُلْطَة,85,ضَبْط;سَيْطَرَة;تَحَكُّم
سِيَادَة,80,ضَبْط;سَيْطَرَة;تَحَكُّم
هَيْمَنَة,85,ضَبْط;سَيْطَرَة;تَحَكُّم
حُكْم,70,ضَبْط;سَيْطَرَة;تَحَكُّم
تَمَكُّن,"62,5",ضَبْط;سَيْطَرَة;تَحَكُّم
قِيَادَة,"77,5",ضَبْط;سَيْطَرَة;تَحَكُّم
إِجَادَة,10,ضَبْط;سَيْطَرَة;تَحَكُّم
سَيْطَرة,100,ضَبْط;سَيْطَرَة;تَحَكُّم
اِتِّحَاد كُنْفِدْرَالِيّ,"82,5",مُحَالَفَة;تَحَالُف
اِتِّحَاد,95,مُحَالَفَة;تَحَالُف
حِلْف,"92,5",مُحَالَفَة;تَحَالُف
اِتِّحَاد فِدْرَالِي,"82,5",مُحَالَفَة;تَحَالُف
اِئْتِلاف,"87,5",مُحَالَفَة;تَحَالُف
إنْحِيَاز,25,مُحَالَفَة;تَحَالُف
جامِعَة,45,مُحَالَفَة;تَحَالُف
تَحَرُّك,70,تَعْبِئَة;تَحْرِيك
حَشْد,65,تَعْبِئَة;تَحْرِيك
اِسْتِنْفَار,"32,5",تَعْبِئَة;تَحْرِيك
مَظْهَر,20,تَعْبِئَة;تَحْرِيك
إنْعِكَاس,"27,5",تَعْبِئَة;تَحْرِيك
تَعْبِير الوَجْه,25,تَعْبِئَة;تَحْرِيك
قَوْل,"92,5",تَعْبِئَة;تَحْرِيك
عِبَارَة,20,تَعْبِئَة;تَحْرِيك
تَعْبِير اصْطِلاحِيّ,85,تَعْبِئَة;تَحْرِيك
عِبَارَة اصْطِلاحِيّة,"17,5",تَعْبِئَة;تَحْرِيك
تَعَدِّي,"77,5",عَدَائِيَّة;عُدْوَان;تَعَدٍّ
اِعْتِدَاء,90,عَدَائِيَّة;عُدْوَان;تَعَدٍّ
عَدَاء,75,عَدَائِيَّة;عُدْوَان;تَعَدٍّ
عَمَل عِدائِي,"87,5",عَدَائِيَّة;عُدْوَان;تَعَدٍّ
اِعْتِداء,"87,5",عَدَائِيَّة;عُدْوَان;تَعَدٍّ
عَمَل عَدَائِيّ,"87,5",عَدَائِيَّة;عُدْوَان;تَعَدٍّ
عَدَاوَة,75,عَدَائِيَّة;عُدْوَان;تَعَدٍّ
تَتَال,"72,5",تَعَاقُب;تَعَاقُب بِيْئِي
تَتَابُع,80,تَعَاقُب;تَعَاقُب بِيْئِي
تَسَلْسُل,90,تَعَاقُب;تَعَاقُب بِيْئِي
سِلْسِلَة,50,تَعَاقُب;تَعَاقُب بِيْئِي
تَتَالِي,"67,5",تَعَاقُب;تَعَاقُب بِيْئِي
تَوَقُّف,"72,5",إِعَاقَة;تَأخِير
تَأجِيل,"87,5",إِعَاقَة;تَأخِير
اِنْتِظَار,"52,5",إِعَاقَة;تَأخِير
نَبْرَة,"22,5",تَشْدِيد;تَأْكِيد;تَوْكِيد
جَزْم,75,تَشْدِيد;تَأْكِيد;تَوْكِيد
إِثْبات,10,تَشْدِيد;تَأْكِيد;تَوْكِيد
إِقْرَار,"22,5",تَشْدِيد;تَأْكِيد;تَوْكِيد
بَيَان,"17,5",تَشْدِيد;تَأْكِيد;تَوْكِيد
إثْبَات,5,تَشْدِيد;تَأْكِيد;تَوْكِيد
طَعْم,65,ذَوْق;تَذَوُّق
تَقْدِير,15,ذَوْق;تَذَوُّق
تَمْيِيز,50,ذَوْق;تَذَوُّق
حَصَافَة,"2,5",ذَوْق;تَذَوُّق
إِدْرَاك,"42,5",ذَوْق;تَذَوُّق
حَاسَّة الذَّوْق,95,ذَوْق;تَذَوُّق
تَدْمِير,100,دَمَار;تدْمِير
هَدْم,95,دَمَار;تدْمِير
تَرْكِيبَة,30,تألِيف مُوسِيقي;تَلْحين
بُنْيَة,"12,5",تألِيف مُوسِيقي;تَلْحين
تَشْكِيلَة,"47,5",تألِيف مُوسِيقي;تَلْحين
تَكْوِين,"37,5",تألِيف مُوسِيقي;تَلْحين
عُلُوم سِيَاسِية,85,عَلاَقَة سِيَاسِيَّة;سِيَاسَة
عِلْم السِّيَاسة,85,عَلاَقَة سِيَاسِيَّة;سِيَاسَة
غِطَاء,"87,5",سِتَار;سِتَارَة
حِجَاب,"77,5",سِتَار;سِتَارَة
سِتْر,65,سِتَار;سِتَارَة
تَتَابُع,90,سِلْسِلَة;تَسَلْسُل
تَتَال,85,سِلْسِلَة;تَسَلْسُل
تَعَاقُب,"82,5",سِلْسِلَة;تَسَلْسُل
تَرْتِيب,70,سِلْسِلَة;تَسَلْسُل
نَسَق,70,سِلْسِلَة;تَسَلْسُل
تَتَالِي,"92,5",سِلْسِلَة;تَسَلْسُل
تَسْجِيل فُونُوغرَافِي,"57,5",قَيْد;سِجِلّ;تَسْجِيل
قُرْص,60,قَيْد;سِجِلّ;تَسْجِيل
أسْطُوَانَة فُونُوغرَافِيَّة,"57,5",قَيْد;سِجِلّ;تَسْجِيل
مُدَوَّنَة,75,قَيْد;سِجِلّ;تَسْجِيل
دَفْتَر,75,قَيْد;سِجِلّ;تَسْجِيل
تَسْجيل,"97,5",قَيْد;سِجِلّ;تَسْجِيل
دُخُول,10,قَيْد;سِجِلّ;تَسْجِيل
سَيف مُبارَزَة,"87,5",سَيْف
سَيف قَاطِع,"72,5",سَيْف
سَيف ضالِع,"67,5",سَيْف
بَلَاط,40,عَرْش;قَصْر;سَرَايَة
صَرْح,50,عَرْش;قَصْر;سَرَايَة
إِيوان,40,عَرْش;قَصْر;سَرَايَة
وَطَن,"52,5",سَكَن
مَسْكَن,90,سَكَن
مَرْكَز,"22,5",سَكَن
مَقَرّ,"27,5",سَكَن
مَقَام,"37,5",سَكَن
مَنْزِل,95,سَكَن
بَيْت,95,سَكَن
حِلَّة,60,سَكَن
مَحَلّ إقَامَة,85,سَكَن
وَقْت,"52,5",سَاعَة
تَوْقِيت,"37,5",سَاعَة
نِمْرَة مَسْرَحِيَّة,"7,5",نَمَط;رُوتِين
كَلام مُعَاد,30,نَمَط;رُوتِين
فَصْل,"12,5",نَمَط;رُوتِين
طَرِيقَة,"62,5",نَمَط;رُوتِين
رُوح,100,نَفْس;رُوْح
مَخْلُوق,"27,5",نَفْس;رُوْح
فَرْد,"22,5",نَفْس;رُوْح
أَحَد ما,20,نَفْس;رُوْح
إِنْسَان,"22,5",نَفْس;رُوْح
شَخْص مَا,20,نَفْس;رُوْح
شَخْص,"22,5",نَفْس;رُوْح
رُمْح,100,رمْح
حَرْبَة,80,رمْح
رَبْطَة,75,طَرْد;رِزْمَة
حُزْمَة,85,طَرْد;رِزْمَة
حِزْمَة,"77,5",طَرْد;رِزْمَة
تَساهُل,70,شَفَقَة;رَأْفَة;رَحْمَة
رأَفَة,100,شَفَقَة;رَأْفَة;رَحْمَة
عَطْف,"92,5",شَفَقَة;رَأْفَة;رَحْمَة
إِشْفَاق,85,شَفَقَة;رَأْفَة;رَحْمَة
رِفْق,"92,5",شَفَقَة;رَأْفَة;رَحْمَة
لُطْف,"77,5",شَفَقَة;رَأْفَة;رَحْمَة
لِين,80,شَفَقَة;رَأْفَة;رَحْمَة
تَسَامُح,"77,5",شَفَقَة;رَأْفَة;رَحْمَة
تَسَاهُل,35,شَفَقَة;رَأْفَة;رَحْمَة
لِيْن,80,شَفَقَة;رَأْفَة;رَحْمَة
مَجْمُوعَة,"62,5",حَشْد;جَمْع غَفِير;قُوَّة
طَاقَم,60,حَشْد;جَمْع غَفِير;قُوَّة
تَحَرُّك,50,حَشْد;جَمْع غَفِير;قُوَّة
نَشَاط,"47,5",حَشْد;جَمْع غَفِير;قُوَّة
تَسْجِيل فُونُوغرَافِي,20,قُرْص
تَسْجِيل,35,قُرْص
أسْطُوَانَة فُونُوغرَافِيَّة,60,قُرْص
قَالِب,0,مِثَال;قُدْوَة
قَالَب,0,مِثَال;قُدْوَة
نَمُوذَج,"57,5",مِثَال;قُدْوَة
مُحَاكَاة,30,مِثَال;قُدْوَة
مَثَل,40,مِثَال;قُدْوَة
مَعْرَكَة,85,قِتَال;قِتَال مُسَلَّح
عِرَاك,"67,5",قِتَال;قِتَال مُسَلَّح
شِجَار,55,قِتَال;قِتَال مُسَلَّح
مَوْقَعَة,55,قِتَال;قِتَال مُسَلَّح
صِرَاع,85,قِتَال;قِتَال مُسَلَّح
اِشْتِبَاك,"82,5",قِتَال;قِتَال مُسَلَّح
سَهْم,"7,5",شُعْبَة;فِئَة;قِسْم
نَصِيب,10,شُعْبَة;فِئَة;قِسْم
قِسْمَة,"12,5",شُعْبَة;فِئَة;قِسْم
حِصَّة,20,شُعْبَة;فِئَة;قِسْم
جُزْء,"77,5",شُعْبَة;فِئَة;قِسْم
تَقْسِيم,"42,5",شُعْبَة;فِئَة;قِسْم
فَصْل,40,شُعْبَة;فِئَة;قِسْم
مَقْطَع,"17,5",شُعْبَة;فِئَة;قِسْم
جِزْء,"77,5",شُعْبَة;فِئَة;قِسْم
نُقْطَة,"17,5",ذُرْوَة;قِمَّة;رَأْس
طَرَف مُسْتَدِقّ,15,ذُرْوَة;قِمَّة;رَأْس
رَأس,"92,5",ذُرْوَة;قِمَّة;رَأْس
أَوْج,80,ذُرْوَة;قِمَّة;رَأْس
مُؤْتَمَر قِمَّة,"2,5",ذُرْوَة;قِمَّة;رَأْس
رَأس,"22,5",مُؤْتَمَر قِمَّة;قِمَّة
أَوْج,"7,5",مُؤْتَمَر قِمَّة;قِمَّة
ذُرْوَة,10,مُؤْتَمَر قِمَّة;قِمَّة
رَأْس,"22,5",مُؤْتَمَر قِمَّة;قِمَّة
مَقْطُوعَة,"37,5",شَرِيحَة;قِطْعَة
جُزء,"72,5",شَرِيحَة;قِطْعَة
شَطْر,75,شَرِيحَة;قِطْعَة
قِسْمَ,"72,5",شَرِيحَة;قِطْعَة
مَنْطِقَة,"7,5",شَرِيحَة;قِطْعَة
جُزْء,"72,5",شَرِيحَة;قِطْعَة
طَرَف,"22,5",شَرِيحَة;قِطْعَة
قِطْعَة مُوسِيقِيَّة,"2,5",شَرِيحَة;قِطْعَة
مَقْطُوعَة مُوسِيقِيَّة,"2,5",شَرِيحَة;قِطْعَة
حِصَّة,"47,5",شَرِيحَة;قِطْعَة
حُكْم,"87,5",قَرَار
عَزْم,35,قَرَار
مَرْسُوم,40,قَرَار
أَمْر,"22,5",قَرَار
حُكْم قَضَائِي,"67,5",قَرَار
عَلاقَة,80,قَرَابَة
صِلَة,80,قَرَابَة
اِرْتِبَاط,55,قَرَابَة
أُلْفَة,20,قَرَابَة
رِجْل,90,قَدَم;قَدَم الحَيَوَان
تَبَنِّي,"7,5",مُوَافَقَة;قَبُول;رِضَى
تَبَنِّ,"7,5",مُوَافَقَة;قَبُول;رِضَى
إقْرَار,30,مُوَافَقَة;قَبُول;رِضَى
قُبُول,"97,5",مُوَافَقَة;قَبُول;رِضَى
اِسْتِحْسَان,65,مُوَافَقَة;قَبُول;رِضَى
تَقَبُّل,"87,5",مُوَافَقَة;قَبُول;رِضَى
تَصْدِيق,15,مُوَافَقَة;قَبُول;رِضَى
مُبَارَكَة,5,مُوَافَقَة;قَبُول;رِضَى
قَبْض,"42,5",مَسْكَة;مِقْبَض;قَبْضَة
مَسْك,"22,5",مَسْكَة;مِقْبَض;قَبْضَة
كَمْش,20,مَسْكَة;مِقْبَض;قَبْضَة
إِمْسَاك,20,مَسْكَة;مِقْبَض;قَبْضَة
قَرَاَبَة,"37,5",عَشِيرَة;قَبِيلَة
نَسَب,45,عَشِيرَة;قَبِيلَة
أقْرِبَاء,"47,5",عَشِيرَة;قَبِيلَة
حَالَة,75,قَضِيَّة
دَعْوَى قَضَائِيَّة,"82,5",قَضِيَّة
دَعْوَى,50,قَضِيَّة
اِدِّعَاء,"47,5",قَضِيَّة
شَكْوَى,35,قَضِيَّة
مَسْأَلَة,85,قَضِيَّة
مُشْكِلَة,75,قَضِيَّة
مَسْألَة,85,قَضِيَّة
خِنْزِير غِينِيّ,0,قَضِيَّة
مَوْضُوع الْبَحْث,35,قَضِيَّة
نَمُوذَج,"7,5",قَضِيَّة
مِثال,"2,5",قَضِيَّة
مَثَل,0,قَضِيَّة
أُمْثُوْلَة,0,قَضِيَّة
شَاهِد,"2,5",قَضِيَّة
حَال,"12,5",قَضِيَّة
إِجْرَاء,"37,5",قَانُون;تَشْرِيع
عَمَل,20,قَانُون;تَشْرِيع
بُنْيَة تَحْتِيَّة,70,قَاعِدَة
رُكْن أَسَاسِيّ,75,قَاعِدَة
مَبْنَى,30,قَاعِدَة
مَبْدَأ,"12,5",قَاعِدَة
جِذْر,25,قَاعِدَة
جَذْر,20,قَاعِدَة
حَجَر الزَاوِيَة,5,قَاعِدَة
أَسَاس,85,قَاعِدَة
أَصْل,25,قَاعِدَة
تَعْلِيمَة,"2,5",قَاعِدَة
نِظام,"7,5",قَاعِدَة
أََسَاس,85,قَاعِدَة
بِنَاء تَحْتِي,65,قَاعِدَة
مَال,100,عُمْلَة;نَقْد;نُقُود
رَأْس,"7,5",فَتْرَة زَمَنِيَّة;نُقْطَة;نُقْطَة زَمَنِيَّة
طَرَف مُسْتَدِقّ,"2,5",فَتْرَة زَمَنِيَّة;نُقْطَة;نُقْطَة زَمَنِيَّة
نُقْطَة البُوصِلَة,"17,5",فَتْرَة زَمَنِيَّة;نُقْطَة;نُقْطَة زَمَنِيَّة
مَادَّة,"2,5",فَتْرَة زَمَنِيَّة;نُقْطَة;نُقْطَة زَمَنِيَّة
بَنْد,"2,5",فَتْرَة زَمَنِيَّة;نُقْطَة;نُقْطَة زَمَنِيَّة
رُتْبَة,5,فَتْرَة زَمَنِيَّة;نُقْطَة;نُقْطَة زَمَنِيَّة
مُسْتَوَى,"7,5",فَتْرَة زَمَنِيَّة;نُقْطَة;نُقْطَة زَمَنِيَّة
مَرْتَبَة,"2,5",فَتْرَة زَمَنِيَّة;نُقْطَة;نُقْطَة زَمَنِيَّة
مَرْحَلَة,"87,5",فَتْرَة زَمَنِيَّة;نُقْطَة;نُقْطَة زَمَنِيَّة
دَرَجَة,"17,5",فَتْرَة زَمَنِيَّة;نُقْطَة;نُقْطَة زَمَنِيَّة
جُزُء,15,فَتْرَة زَمَنِيَّة;نُقْطَة;نُقْطَة زَمَنِيَّة
فَتْرَة,"92,5",فَتْرَة زَمَنِيَّة;نُقْطَة;نُقْطَة زَمَنِيَّة
رَأْس,20,نُقْطَة;نُقْطَة البُوصِلَة
طَرَف مُسْتَدِقّ,15,نُقْطَة;نُقْطَة البُوصِلَة
نُقْطَة زَمَنِيَّة,0,نُقْطَة;نُقْطَة البُوصِلَة
فَتْرَة زَمَنِيَّة,"2,5",نُقْطَة;نُقْطَة البُوصِلَة
مَادَّة,0,نُقْطَة;نُقْطَة البُوصِلَة
بَنْد,0,نُقْطَة;نُقْطَة البُوصِلَة
رُتْبَة,0,نُقْطَة;نُقْطَة البُوصِلَة
مُسْتَوَى,"12,5",نُقْطَة;نُقْطَة البُوصِلَة
مَرْتَبَة,"2,5",نُقْطَة;نُقْطَة البُوصِلَة
مَرْحَلَة,5,نُقْطَة;نُقْطَة البُوصِلَة
دَرَجَة,5,نُقْطَة;نُقْطَة البُوصِلَة
جُزُء,5,نُقْطَة;نُقْطَة البُوصِلَة
خِلاف,"97,5",صِرَاع;نِزَاع;خِلاَف
مَعْرَكَة,70,صِرَاع;نِزَاع;خِلاَف
خِصَام,85,صِرَاع;نِزَاع;خِلاَف
جِدَال,"87,5",صِرَاع;نِزَاع;خِلاَف
قِتَال,"72,5",صِرَاع;نِزَاع;خِلاَف
مَوْقَعَة,"42,5",صِرَاع;نِزَاع;خِلاَف
اِشْتِبَاك,55,صِرَاع;نِزَاع;خِلاَف
جَدَل,"77,5",صِرَاع;نِزَاع;خِلاَف
حَرْب,50,صِرَاع;نِزَاع;خِلاَف
حَدّ,70,نِهَايَة
خُطَّة,30,مَنْظُومَة;نِظَام
بَرْنَامَج,"52,5",مَنْظُومَة;نِظَام
تَنْظِيم,"72,5",مَنْظُومَة;نِظَام
تَرْتِيب,45,مَنْظُومَة;نِظَام
حَنْي,"12,5",مَيْل;نَزْعَة
اِنْحِنَاءَة,25,مَيْل;نَزْعَة
مِزَاج,10,مَيْل;نَزْعَة
طَبْع,15,مَيْل;نَزْعَة
اِسْتِعْدَاد,10,مَيْل;نَزْعَة
نُعَاس,"42,5",هُجُوْع;نَوْم;رُقُود
مَنَام,"17,5",هُجُوْع;نَوْم;رُقُود
تَقْلِيل,"77,5",نَقْص;خَفْض
رُكُود,"62,5",نَقْص;خَفْض
نُزُول,"77,5",نَقْص;خَفْض
تَدَنِّي,90,نَقْص;خَفْض
هُبُوط,85,نَقْص;خَفْض
اِنْخِفَاض,95,نَقْص;خَفْض
تَخْفِيف,75,نَقْص;خَفْض
تَقْلِيْل,75,نَقْص;خَفْض
تَنْقِيْص,80,نَقْص;خَفْض
زِينَة,"7,5",نَمُوذَج
زَخْرَفَة,10,نَمُوذَج
رَسْم,"67,5",نَمُوذَج
شَكْل,"37,5",نَمُوذَج
صُورَة,"52,5",نَمُوذَج
نَمَط,"82,5",نَمُوذَج
غِرَار,20,نَمُوذَج
عَادَة,"7,5",نَمُوذَج
أُسْلُوب,20,نَمُوذَج
تَصَوُّر,"42,5",نَمُوذَج
مُحَاكَاة,20,نَمُوذَج
تَقْلِيد,15,نَمُوذَج
قَاعِدَة,"2,5",نَمُوذَج
قَطْع,"7,5",نَحْت;نَقْش
فَنّ النَحْت,"87,5",نَحْت;نَقْش
نِتَاج,75,مَنْتُوج نِهَائِي;نَاتِج
مُنْتَج,"87,5",مَنْتُوج نِهَائِي;نَاتِج
مَنْتُوج,"92,5",مَنْتُوج نِهَائِي;نَاتِج
مَرْدُود,30,مَنْتُوج نِهَائِي;نَاتِج
مَحْصُول,45,مَنْتُوج نِهَائِي;نَاتِج
خِطَّة,"77,5",مُخَطَّط
اِسْترَاتِيجِيَّة,"82,5",مُخَطَّط
تَرْتِيب,30,مُخَطَّط
خُطَّة,90,مُخَطَّط
تَسْلِيَة,40,مُتْعَة;تَشْوِيق
لَهْو,10,مُتْعَة;تَشْوِيق
سَلْوَى,"12,5",مُتْعَة;تَشْوِيق
اِهْتِمَام,55,مُتْعَة;تَشْوِيق
تَرْفِيه,"17,5",مُتْعَة;تَشْوِيق
أُلْهُوَّة,"12,5",مُتْعَة;تَشْوِيق
مَرَح,30,مُتْعَة;تَشْوِيق
اِسْتِمْتَاع,"52,5",مُتْعَة;تَشْوِيق
مُتَعَهِّد,20,مُرَوِّج
مُدِير عَرْض,"52,5",مُرَوِّج
مُوَاجَهَة,"72,5",مُعَارَضَة;مُقَاوَمَة
مُجَابَهَة,"62,5",مُعَارَضَة;مُقَاوَمَة
صُمُود,35,مُعَارَضَة;مُقَاوَمَة
تَوَقُّف,"2,5",مُعَارَضَة;مُقَاوَمَة
سَنَدَات مَالِيَّة,40,مِلْكِيَّة;مُلْك;مُمْتَلَكَات
مَتَاْع,65,مِلْكِيَّة;مُلْك;مُمْتَلَكَات
أَرْصِدَة,50,مِلْكِيَّة;مُلْك;مُمْتَلَكَات
قِطْعَة أرْض,"32,5",مِلْكِيَّة;مُلْك;مُمْتَلَكَات
عَقَار,60,مِلْكِيَّة;مُلْك;مُمْتَلَكَات
أرْض,30,مِلْكِيَّة;مُلْك;مُمْتَلَكَات
مِلْك,85,مِلْكِيَّة;مُلْك;مُمْتَلَكَات
أمْلاك,95,مِلْكِيَّة;مُلْك;مُمْتَلَكَات
أَرْض,30,مِلْكِيَّة;مُلْك;مُمْتَلَكَات
أمَد,"52,5",دَوَام;مُدَّة
أَمَد,55,دَوَام;مُدَّة
اِسْتِمْرَار,"72,5",دَوَام;مُدَّة
بَقَاء,30,دَوَام;مُدَّة
دَيْمُومَة,65,دَوَام;مُدَّة
اِسْتِمْرَارِيَّة,"72,5",دَوَام;مُدَّة
مُدِير تَنْفِيدي,70,صَانِع قَرَار;مُدِير
تَجْرُبَة,50,ضَرْبَة;مُحَاوَلَة
فُرْصَة,35,ضَرْبَة;مُحَاوَلَة
رَمْيَة,"57,5",ضَرْبَة;مُحَاوَلَة
قَذْفَة,"12,5",ضَرْبَة;مُحَاوَلَة
تَجْرِبَة,50,ضَرْبَة;مُحَاوَلَة
ضرْبَة,"92,5",ضَرْبَة;مُحَاوَلَة
تِجَارَة,"27,5",مُعَامَلَة;تَعَامُل
حَرَكَة,"12,5",مُعَامَلَة;تَعَامُل
اِتِّجار,15,مُعَامَلَة;تَعَامُل
تَعَامُلات,"82,5",مُعَامَلَة;تَعَامُل
دَواء,"47,5",عِلاج;مُعَالَجَة;مُدَاوَاة
نِقَاش,"2,5",عِلاج;مُعَالَجَة;مُدَاوَاة
مُنَاقَشَة,0,عِلاج;مُعَالَجَة;مُدَاوَاة
تَدْبِير,5,عِلاج;مُعَالَجَة;مُدَاوَاة
مُعَامَلَة,20,عِلاج;مُعَالَجَة;مُدَاوَاة
تَكْوِين,15,مُؤَسَّسَة;مُنْشَأة
تَوْطِيد,5,مُؤَسَّسَة;مُنْشَأة
تَنْظِيم,20,مُؤَسَّسَة;مُنْشَأة
خَلْق,0,مُؤَسَّسَة;مُنْشَأة
تَجْدِيد,0,مُؤَسَّسَة;مُنْشَأة
تأسِيس,30,مُؤَسَّسَة;مُنْشَأة
إِيجَاد,20,مُؤَسَّسَة;مُنْشَأة
إِقَامَة,"22,5",مُؤَسَّسَة;مُنْشَأة
إحداث,5,مُؤَسَّسَة;مُنْشَأة
تَأْسِيس,"27,5",مُؤَسَّسَة;مُنْشَأة
تَألِيف,"7,5",مُؤَسَّسَة;مُنْشَأة
تَشْكِيل,"12,5",مُؤَسَّسَة;مُنْشَأة
مؤَسَّسَة,"97,5",مُؤَسَّسَة;مُنْشَأة
جَمْعِيَّة,60,مُؤَسَّسَة;مُنْشَأة
مِسَاحَة,"12,5",جِهَة;مِنْطَقَة
مَجَال,0,جِهَة;مِنْطَقَة
إقْلِيم,0,جِهَة;مِنْطَقَة
نَحْو,5,جِهَة;مِنْطَقَة
إِقْلِيم,0,جِهَة;مِنْطَقَة
رُقْعَة,"7,5",جِهَة;مِنْطَقَة
بِلاد,0,جِهَة;مِنْطَقَة
مَيْدَان مَعْرِفَة,"2,5",جِهَة;مِنْطَقَة
حَقْل,"7,5",جِهَة;مِنْطَقَة
نِطَاق,"32,5",جِهَة;مِنْطَقَة
حَدّ,"12,5",جِهَة;مِنْطَقَة
إِطَار,"12,5",جِهَة;مِنْطَقَة
نَاحِيَة,75,جِهَة;مِنْطَقَة
خَلْط,"47,5",مَزِيج;خَلِيط
تَخْلِيط,50,مَزِيج;خَلِيط
مَزْج,45,مَزِيج;خَلِيط
اِمْتِزاج,55,مَزِيج;خَلِيط
وِقْفَة,"12,5",مَوْقِف;مَوْقِف ذِهْنِيّ
وَقْفَة,20,مَوْقِف;مَوْقِف ذِهْنِيّ
وَضْعِيَّة,"2,5",مَوْقِف;مَوْقِف ذِهْنِيّ
وَضْع,"7,5",مَوْقِف;مَوْقِف ذِهْنِيّ
مَرْكَز,85,مَوْقِع;مَوْقِع عَسْكَرِيّ
وَظِيفَة,5,مَوْقِع;مَوْقِع عَسْكَرِيّ
مَنْصِب,5,مَوْقِع;مَوْقِع عَسْكَرِيّ
سَاحَة,"32,5",مَوْقِع;مَوْقِع عَسْكَرِيّ
مَكَان,60,مَوْقِع;مَوْقِع عَسْكَرِيّ
بُقْعَة,"57,5",مَوْقِع;مَوْقِع عَسْكَرِيّ
مَوْضِع,60,مَوْقِع;مَوْقِع عَسْكَرِيّ
عَلاقَة مَكَانِيَّة,"12,5",مَوْقِع;مَوْقِع عَسْكَرِيّ
مَكَانَة,"2,5",مَوْقِع;مَوْقِع عَسْكَرِيّ
بَدَلاً مِن,0,مَوْقِع;مَوْقِع عَسْكَرِيّ
مَسْألَة,"77,5",مَوْضُوع
مَوْضُوع البَحْث,35,مَوْضُوع
فَرْع,30,مَوْضُوع
مَادَّة,25,مَوْضُوع
رِسَالَة,15,مَوْضُوع
مُحْتَوَى,"32,5",مَوْضُوع
مَفَاد,"17,5",مَوْضُوع
مَضْمُون,"42,5",مَوْضُوع
فَتْرَة,"47,5",شَوْط;مَرْحَلَة
رُتْبَة,20,شَوْط;مَرْحَلَة
نُقْطَة,30,شَوْط;مَرْحَلَة
مُسْتَوَى,75,شَوْط;مَرْحَلَة
مَرْتَبَة,30,شَوْط;مَرْحَلَة
دَرَجَة,"37,5",شَوْط;مَرْحَلَة
قِطَاع,"7,5",مَقْطَع;قِسْم
جُزْء,"92,5",مَقْطَع;قِسْم
سَهْم,15,مَقْطَع;قِسْم
نَصِيب,"2,5",مَقْطَع;قِسْم
حِصَّة,"27,5",مَقْطَع;قِسْم
فِئَة,20,مَقْطَع;قِسْم
شُعْبَة,"17,5",مَقْطَع;قِسْم
تَقْسِيم,"22,5",مَقْطَع;قِسْم
فَصْل,"7,5",مَقْطَع;قِسْم
جِزْء,80,مَقْطَع;قِسْم
سَاحَة,15,مَكَان;مَقْعَد
رَدْف,"7,5",مَكَان;مَقْعَد
قَفَا,"2,5",مَكَان;مَقْعَد
مُؤَخَرَة,"2,5",مَكَان;مَقْعَد
كَفَل,0,مَكَان;مَقْعَد
طَرَف,"2,5",مَكَان;مَقْعَد
عَجْز,0,مَكَان;مَقْعَد
كُرْسِي,95,مَكَان;مَقْعَد
مَوْقِع,"72,5",مَكَان;مَقْعَد
مَوْضِع,70,مَكَان;مَقْعَد
مَرْكَز,"17,5",مَكَان;مَقْعَد
وَضْع,5,مَكَان;مَقْعَد
مِسَاحَة,15,مَكَان;مَقْعَد
مَجَال,15,مَكَان;مَقْعَد
نُقْطَة طُوبُوغْرَافِيَّة,"2,5",مَكَان;مَقْعَد
بُقْعَة,45,مَكَان;مَقْعَد
بَيْت,"17,5",مَكَان;مَقْعَد
مَيْدَان,"7,5",مَكَان;مَقْعَد
مَكَانَة,"2,5",مَكَان;مَقْعَد
بَدَلاً مِن,0,مَكَان;مَقْعَد
مَشْهَد,0,مَكَان;مَقْعَد
مَكَان فَارِغ,25,مَكَان;مَقْعَد
فَرَاغ,"12,5",مَكَان;مَقْعَد
حَيِّز,"47,5",مَكَان;مَقْعَد
وَظِيفَة,"2,5",مَكَان;مَقْعَد
مَنْصِب,"2,5",مَكَان;مَقْعَد
إِقْلِيْم,75,مَنْطِقَة;مَنْطِقَة جُغْرَافِيَّة
قُوَّة,40,مَنْصَب;مَرْكَز
بَيْت,"2,5",مَنْصَب;مَرْكَز
مَوْقِع,75,مَنْصَب;مَرْكَز
مَوْضِع,"42,5",مَنْصَب;مَرْكَز
عَلاقَة مَكَانِيَّة,5,مَنْصَب;مَرْكَز
وَظِيفَة,50,مَنْصَب;مَرْكَز
مَنْصِب,"97,5",مَنْصَب;مَرْكَز
مَكَانَة,75,مَنْصَب;مَرْكَز
مَكَان,25,مَنْصَب;مَرْكَز
بَدَلاً مِن,0,مَنْصَب;مَرْكَز
مُنَاسَبَة,"97,5",فُرْصَة;مَنَاسَبَة
